chain,item,protein_g,calories,sat_fat_g,national_price_usd,source,pulled_date,notes
chick-fil-a,Grilled Chicken Sandwich,28,390,2.5,6.49,web-verified 2026-07-27,2026-07-27,"was $6.85 when seeded; national-average sources 6.45-6.59"
chick-fil-a,Spicy Chicken Sandwich,28,450,4,5.95,web-verified 2026-07-27,2026-07-27,"was 29g/460 cal when seeded; official now 28g/450"
chick-fil-a,Grilled Nuggets (12 ct),38,200,0.75,9.09,web-verified 2026-07-24,2026-07-23,leanest item on menu; sat scaled from official 8-ct (0.5g)
chick-fil-a,Chick-fil-A Nuggets (12 ct),40,380,3.5,7.49,web-verified 2026-07-27,2026-07-27,"price was $6.55 when seeded; ~$7.49 a la carte in 2026"
chick-fil-a,Grilled Cool Wrap,42,350,5,8.49,web-verified 2026-07-27,2026-07-27,"no dressing; price was $9.75 when seeded"
chick-fil-a,Spicy Southwest Salad,33,450,5,10.65,web-verified 2026-07-27,2026-07-27,with grilled chicken; no dressing
chipotle,Chicken Burrito Bowl,45,565,4,9.79,web-verified 2026-07-27,2026-07-27,"chicken, white rice, black beans, fajita veg, salsa; was 48g/665 cal when seeded — official component sum is 45g/565"
chipotle,Double High Protein Bowl,81,760,11,14.50,web-verified 2026-07-27,2026-07-27,"official High Protein Menu item; build = double adobo chicken, light white rice, black beans, fajita veg, tomato salsa, monterey jack, extra romaine; was tracked as a Double Chicken Burrito Bowl with 7g sat fat from a cheese-less build"
chipotle,Chicken Burrito,53,885,4.5,9.79,web-verified 2026-07-27,2026-07-27,"same fillings + tortilla; was 54g/975 cal when seeded"
chipotle,Steak Burrito Bowl,34,535,3.5,11.68,web-verified 2026-07-27,2026-07-27,"steak, rice, beans, fajita veg, salsa; was 38g/640 cal/$10.70 when seeded — official steak is 21g per serving"
chipotle,Chicken Salad Bowl,41,350,3,9.79,web-verified 2026-07-27,2026-07-27,"supergreens, chicken, beans, salsa — no rice; no dressing; was 42g/400 cal when seeded"
